0,0,0,0,0,0,0
0.099999,0.00375,0.00099998,100,1.1413e-07,1.1413e-07,1000
0.2,0.00375,0.00099998,100,1.6151e-07,1.6151e-07,1000
0.3,0.00375,0.00099998,100,1.9801e-07,1.9801e-07,1000
0.4,0.00375,0.00099998,100,2.2897e-07,2.2897e-07,1000
0.5,0.00375,0.00099998,100,2.5645e-07,2.5645e-07,1000
0.59999,0.00375,0.00099998,100,2.8154e-07,2.8154e-07,1000
0.69999,0.00375,0.00099998,100,3.0485e-07,3.0485e-07,1000
0.79999,0.00375,0.00099998,100,3.2681e-07,3.2681e-07,1000
0.89999,0.00375,0.00099998,100,3.4769e-07,3.4769e-07,1000
0,0,0,0,0,0,0
